report_id,date,person_role,person_injury_lvl,person_veh_type,veh_type,veh_make,veh_model,police_beat,address_no_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,address
20200557,2020-01-22,BICYCLIST,VISABLE,,BICYCLE,,,627,3900, ,06TH,EXT ST, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"3900 06TH EXT ST, San Diego, CA"
20200641,2020-01-26,BICYCLIST,VISABLE,,BICYCLE,,,811,3500, ,MEADE,AVENUE, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,,"3500 MEADE AVENUE, San Diego, CA"
20200709,2020-01-27,BICYCLIST,PAIN,,BICYCLE,,,834,4300, ,THORN,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,MISDEMEANOR,"4300 THORN STREET, San Diego, CA"
20200760,2020-01-31,BICYCLIST,,,BICYCLE,ROAD MOTOR HOME,,516,300, ,32ND,STREET, , , ,22517,VC,UNSAFE OPENING OF VEH DOOR (I),1,0,,"300 32ND STREET, San Diego, CA"
20200765,2020-01-31,BICYCLIST,VISABLE,,BICYCLE,,,627,3700, ,PARK,BOULEVARD, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"3700 PARK BOULEVARD, San Diego, CA"
20200877,2020-02-05,BICYCLIST,PAIN,,BICYCLE,GARY,,122,800, ,GARNET,AVENUE, , , ,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),1,0,,"800 GARNET AVENUE, San Diego, CA"
20200996,2020-02-07,BICYCLIST,PAIN,,BICYCLE,SCHWARTZ,,813,3000, ,UNIVERSITY,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,MISDEMEANOR,"3000 UNIVERSITY AVENUE, San Diego, CA"
20201075,2020-02-13,BICYCLIST,PAIN,,BICYCLE,SCHWARTZ,,611,3800, ,ROSECRANS,STREET, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,FELONY,"3800 ROSECRANS STREET, San Diego, CA"
20201171,2020-02-16,BICYCLIST,SEVERE,,BICYCLE,COMET MOBILE,,115,4600, ,NOBEL,DRIVE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"4600 NOBEL DRIVE, San Diego, CA"
20201389,2020-02-24,BICYCLIST,VISABLE,,BICYCLE,BIANCHI,,826,4000, ,54TH,STREET, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"4000 54TH STREET, San Diego, CA"
20201407,2020-02-25,BICYCLIST,VISABLE,,BICYCLE,SPEC,,124,5300, ,LA JOLLA HERMOSA,AVENUE, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,,"5300 LA JOLLA HERMOSA AVENUE, San Diego, CA"
20201490,2020-02-28,BICYCLIST,VISABLE,,BICYCLE,SCHWARTZ,,526,1400, ,03RD,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,MISDEMEANOR,"1400 03RD AVENUE, San Diego, CA"
20201564,2020-03-02,BICYCLIST,PAIN,,BICYCLE,BONT,,517,1200, ,33RD,STREET, , , ,21950B,VC,PED IN CROSSWALK: STOP/DELAY VEHICLES OR SUDDENLY LEAVE PLACE OF SAFETY (I),2,0,,"1200 33RD STREET, San Diego, CA"
20201730,2020-03-05,BICYCLIST,PAIN,,BICYCLE,GIANNINI,,825,4000, ,EL CAJON,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"4000 EL CAJON BOULEVARD, San Diego, CA"
20201637,2020-03-05,BICYCLIST,VISABLE,,BICYCLE,"TREK, INC.",,937,15700, ,CASEY,GLEN, , , ,21802A,VC,RIGHT-OF-WAY:FROM STOP INTERSECTION (I),1,0,,"15700 CASEY GLEN, San Diego, CA"
20201641,2020-03-05,BICYCLIST,PAIN,,BICYCLE,SCHWARTZ,,511,2700, ,BOSTON,AVENUE, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,,"2700 BOSTON AVENUE, San Diego, CA"
20201661,2020-03-06,BICYCLIST,PAIN,,BICYCLE,,,611,4500, ,PACIFIC,HIGHWAY, , , ,21950B,VC,PED IN CROSSWALK: STOP/DELAY VEHICLES OR SUDDENLY LEAVE PLACE OF SAFETY (I),1,0,,"4500 PACIFIC HIGHWAY, San Diego, CA"
20201675,2020-03-06,BICYCLIST,VISABLE,,BICYCLE,"BEACHCOMBER INDS.,LT",,122,4500, ,LAMONT,STREET, , , ,21800A,VC,RIGHT-OF-WAY:INTERSECTION,1,0,,"4500 LAMONT STREET, San Diego, CA"
20201881,2020-03-15,BICYCLIST,VISABLE,,BICYCLE,CANNONDALE CORP,,821,, ,70TH,STREET, ,MOHAWK,STREET,21703,VC,FOLLOWING TOO CLOSELY (I),1,0,,"70TH STREET, San Diego, CA"
20201889,2020-03-16,BICYCLIST,VISABLE,,BICYCLE,FUJI ROBBT JR.,,713,9500, ,HEINRICH HERTZ,DRIVE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"9500 HEINRICH HERTZ DRIVE, San Diego, CA"
20202017,2020-03-25,BICYCLIST,VISABLE,,BICYCLE,FREEWAY TRAVELERS,,724,500, ,HOLLISTER,STREET, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"500 HOLLISTER STREET, San Diego, CA"
20202108,2020-04-03,BICYCLIST,VISABLE,,BICYCLE,FINN CORP.,,722,, ,SATURN,BOULEVARD,S,SCL, ,21802A,VC,RIGHT-OF-WAY:FROM STOP INTERSECTION (I),1,0,,"SATURN BOULEVARD, San Diego, CA"
20202249,2020-04-15,BICYCLIST,VISABLE,,BICYCLE,SPEC,,932,12600, ,NORTH TORREY PINES,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,2,0,,"12600 NORTH TORREY PINES ROAD, San Diego, CA"
20202292,2020-04-18,BICYCLIST,VISABLE,,BICYCLE,FUJI ROBBT JR.,,123,, ,CLAIREMONT,DRIVE, ,EAST MISSION BAY,DRIVE,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"CLAIREMONT DRIVE, San Diego, CA"
20202343,2020-04-22,BICYCLIST,PAIN,,BICYCLE,,,825,4800, ,KENSINGTON,DRIVE, , , ,21760,VC,THREE FEET FOR SAFETY ACT (I),1,0,,"4800 KENSINGTON DRIVE, San Diego, CA"
20202346,2020-04-22,BICYCLIST,VISABLE,,BICYCLE,SCHWARTZ,,246,11500, ,SPRUCE RUN,DRIVE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"11500 SPRUCE RUN DRIVE, San Diego, CA"
20202371,2020-04-24,BICYCLIST,VISABLE,,BICYCLE,GIANNINI,,624,1900, ,EL CAJON,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,MISDEMEANOR,"1900 EL CAJON BOULEVARD, San Diego, CA"
20202378,2020-04-25,BICYCLIST,PAIN,,BICYCLE,ROYAL RIDER,,935,, ,MOONFLOWER MEADOWS,TRAIL, ,PACIFIC HIGHLANDS RANCH,PARKWAY,21802A,VC,RIGHT-OF-WAY:FROM STOP INTERSECTION (I),1,0,,"MOONFLOWER MEADOWS TRAIL, San Diego, CA"
20202445,2020-04-27,BICYCLIST,VISABLE,,BICYCLE,SPEC,,616,, ,HARBOR VIEW,DRIVE, ,TALBOT,STREET,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"HARBOR VIEW DRIVE, San Diego, CA"
20202470,2020-05-01,BICYCLIST,SEVERE,,BICYCLE,FUJI ROBBT JR.,,113,3000, ,FAWN,AVENUE, , , ,21650,VC,LANE USAGE:FAIL TO DRIVE ON RIGHT HALF OF ROAD (I),1,0,,"3000 FAWN AVENUE, San Diego, CA"
20202487,2020-05-02,BICYCLIST,VISABLE,,BICYCLE,SCHWARTZ,,613,2200, ,WORDEN,STREET, , , ,21950A,VC,RIGHT-OF-WAY:DRVR YIELD TO PEDESTRIAN IN CROSSWALK (I),1,0,,"2200 WORDEN STREET, San Diego, CA"
20202554,2020-05-06,BICYCLIST,VISABLE,,BICYCLE,"TREK, INC.",,126,2900, ,LA JOLLA VILLAGE,DRIVE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"2900 LA JOLLA VILLAGE DRIVE, San Diego, CA"
20202612,2020-05-09,BICYCLIST,VISABLE,,BICYCLE,GIANNINI,,931,5200, ,MIRA MESA,BOULEVARD, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"5200 MIRA MESA BOULEVARD, San Diego, CA"
20202610,2020-05-09,BICYCLIST,VISABLE,,BICYCLE,SPEC,,122,4200, ,MISSION,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"4200 MISSION BOULEVARD, San Diego, CA"
20202646,2020-05-12,BICYCLIST,VISABLE,,BICYCLE,SCHWARTZ,,124,6900, ,DRAPER,AVENUE, , , ,21800C,VC,RIGHT-OF-WAY - CONTROLLED BY STOP SIGHNS - LEFT DRIVER YIELD (I),1,0,,"6900 DRAPER AVENUE, San Diego, CA"
20202732,2020-05-17,BICYCLIST,SEVERE,,BICYCLE,MONG,,452,500, ,WOODMAN,STREET, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"500 WOODMAN STREET, San Diego, CA"
20202798,2020-05-22,BICYCLIST,VISABLE,,BICYCLE,ELITE,,121,800, ,WEST MISSION BAY,DRIVE, , , ,21760,VC,THREE FEET FOR SAFETY ACT (I),1,0,,"800 WEST MISSION BAY DRIVE, San Diego, CA"
20202818,2020-05-23,BICYCLIST,VISABLE,,BICYCLE,VASS,,614,4900, ,VOLTAIRE,STREET, , , ,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),1,0,,"4900 VOLTAIRE STREET, San Diego, CA"
20202819,2020-05-23,BICYCLIST,VISABLE,,BICYCLE,,,114,4400, ,CLAIREMONT MESA,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"4400 CLAIREMONT MESA BOULEVARD, San Diego, CA"
20202858,2020-05-25,BICYCLIST,PAIN,,BICYCLE,SPEC,,935,10,S,FEET OF CURBLINE OF 5800 BLAZING STAR, , , , ,21800A,VC,RIGHT-OF-WAY:INTERSECTION,1,0,,"10 S FEET OF CURBLINE OF 5800 BLAZING STAR, San Diego, CA"
20027252,2020-05-25,BICYCLIST,PAIN,,BICYCLE,KROMS,,722,1900, ,ILEX,AVENUE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,MISDEMEANOR,"1900 ILEX AVENUE, San Diego, CA"
20202871,2020-05-26,BICYCLIST,VISABLE,,BICYCLE,SCHWARTZ,,813,3400, ,LANDIS,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"3400 LANDIS STREET, San Diego, CA"
20203094,2020-06-08,BICYCLIST,PAIN,,BICYCLE,,,111,4700, ,CHATEAU,DRIVE, , , ,22517,VC,UNSAFE OPENING OF VEH DOOR (I),1,0,,"4700 CHATEAU DRIVE, San Diego, CA"
20203176,2020-06-12,BICYCLIST,PAIN,,BICYCLE,SPEC,,124,6000, ,CAMINO DE LA COSTA, , , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"6000 CAMINO DE LA COSTA, San Diego, CA"
20203187,2020-06-13,BICYCLIST,VISABLE,,BICYCLE,SPEC,,124,9100, ,LA JOLLA,BOULEVARD, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"9100 LA JOLLA BOULEVARD, San Diego, CA"
20203216,2020-06-14,BICYCLIST,PAIN,,BICYCLE,,,813,2800, ,EL CAJON,BOULEVARD, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,,"2800 EL CAJON BOULEVARD, San Diego, CA"
20203328,2020-06-20,BICYCLIST,VISABLE,,BICYCLE,SALS,,932,50,E,FEET OF THE CURB LINE OF 12600 TORREY PINES,ROAD, , , ,21209,VC,UNLAWFUL DRVG Mot Veh IN BICYCLE LANE (I),1,0,,"50 E FEET OF THE CURB LINE OF 12600 TORREY PINES ROAD, San Diego, CA"
20203433,2020-06-25,BICYCLIST,PAIN,,BICYCLE,,,832,, ,MARLBOROUGH,AVENUE, ,POLK,AVENUE,21657,VC,LANE USAGE:DISOBEY DESIGNATED TRAFFIC DIRECTION Dev (I),1,0,,"MARLBOROUGH AVENUE, San Diego, CA"
20203458,2020-06-27,BICYCLIST,VISABLE,,BICYCLE,DIAMOND G EQUIPMENT,,521,1100, ,BROADWAY, , , , ,23123(A),VC,USE CELL PHONE WHILE DRIVING WITHOUT HANDSFREE DEVICE (I),1,0,,"1100 BROADWAY, San Diego, CA"
20203567,2020-07-02,BICYCLIST,VISABLE,,BICYCLE,,,834,4000, ,THORN,STREET, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,,"4000 THORN STREET, San Diego, CA"
20203593,2020-07-03,BICYCLIST,PAIN,,BICYCLE,SCHWARTZ,,122,1000, ,CHALCEDONY,STREET, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,,"1000 CHALCEDONY STREET, San Diego, CA"
20203630,2020-07-04,BICYCLIST,VISABLE,,BICYCLE,NADINE,,934,3000, ,DEL MAR HEIGHTS,ROAD, , , ,23123(A),VC,USE CELL PHONE WHILE DRIVING WITHOUT HANDSFREE DEVICE (I),1,0,,"3000 DEL MAR HEIGHTS ROAD, San Diego, CA"
20203625,2020-07-05,BICYCLIST,PAIN,,BICYCLE,,,123,1600, ,FIESTA ISLAND,ROAD, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),2,0,,"1600 FIESTA ISLAND ROAD, San Diego, CA"
20203720,2020-07-09,BICYCLIST,VISABLE,,BICYCLE,BIRD,,613,4500, ,SARATOGA,AVENUE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"4500 SARATOGA AVENUE, San Diego, CA"
20203767,2020-07-11,BICYCLIST,VISABLE,,BICYCLE,PINA,,123,,E,FOOT OF THE CURBLINE OF 1300 MISSION BAY,DRIVE, , , ,21703,VC,FOLLOWING TOO CLOSELY (I),2,0,,"E FOOT OF THE CURBLINE OF 1300 MISSION BAY DRIVE, San Diego, CA"
20203783,2020-07-11,BICYCLIST,VISABLE,,BICYCLE,"TREK, INC.",,122,3400, ,CROWN POINT,DRIVE, , , ,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),1,0,,"3400 CROWN POINT DRIVE, San Diego, CA"
20203936,2020-07-18,BICYCLIST,,,BICYCLE,STROMER,,611,, ,LIBERTY STATION, , , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"LIBERTY STATION, San Diego, CA"
20204054,2020-07-24,BICYCLIST,VISABLE,,BICYCLE,FUJI ROBBT JR.,,325,5500, ,KIOWA,DRIVE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),2,0,,"5500 KIOWA DRIVE, San Diego, CA"
20204146,2020-07-28,BICYCLIST,VISABLE,,BICYCLE,E3 OASHA,,113,, ,HUERFANO,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"HUERFANO AVENUE, San Diego, CA"
20204202,2020-07-31,BICYCLIST,VISABLE,,BICYCLE,,,326,5200, ,MONTEZUMA,ROAD, , , ,21754,VC,PASSING:UNLAWFUL PASSING ON THE RIGHT (I),1,0,,"5200 MONTEZUMA ROAD, San Diego, CA"
20204204,2020-07-31,BICYCLIST,PAIN,,BICYCLE,,,612,,N,EVERGREEN, , ,South curb line, ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"N EVERGREEN, San Diego, CA"
20204226,2020-08-01,BICYCLIST,VISABLE,,BICYCLE,SCOTT,,113,5400, ,REGENTS,ROAD, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"5400 REGENTS ROAD, San Diego, CA"
20204302,2020-08-04,BICYCLIST,VISABLE,,BICYCLE,,,826,5300, ,UNIVERSITY,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"5300 UNIVERSITY AVENUE, San Diego, CA"
20204319,2020-08-05,BICYCLIST,VISABLE,,BICYCLE,"TREK, INC.",,122,600, ,LORING,STREET, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"600 LORING STREET, San Diego, CA"
20204318,2020-08-05,BICYCLIST,VISABLE,,BICYCLE,CERV,,937,14300, ,CAMINO DEL SUR, , , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"14300 CAMINO DEL SUR, San Diego, CA"
20204356,2020-08-07,BICYCLIST,VISABLE,,BICYCLE,RALE,,517,2600, ,B,STREET, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"2600 B STREET, San Diego, CA"
20204412,2020-08-09,BICYCLIST,VISABLE,,BICYCLE,CANNONDALE CORP,,528,,W,BEECH,STREET, ,COLUMBIA,STREET,21461A,VC,TRAFFIC CONTROL DEV:DRVR FAILURE TO OBEY (I),1,0,,"W BEECH STREET, San Diego, CA"
20204507,2020-08-13,BICYCLIST,PAIN,,BICYCLE,VILLIERS,,447,1600, ,ALTADENA,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"1600 ALTADENA AVENUE, San Diego, CA"
20204583,2020-08-16,BICYCLIST,VISABLE,,BICYCLE,EPIC,,123,1700, ,FIESTA ISLAND,ROAD, , , ,21750,VC,PASSING:UNSAFE PASSING:SAME DIRECTION (I),1,0,,"1700 FIESTA ISLAND ROAD, San Diego, CA"
20204647,2020-08-18,BICYCLIST,VISABLE,,BICYCLE,SPEC,,625,2800, ,PRESIDIO,DRIVE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"2800 PRESIDIO DRIVE, San Diego, CA"
20204705,2020-08-21,BICYCLIST,SEVERE,,BICYCLE,CANNONDALE CORP,,626,1700,W,WASHINGTON,STREET, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,FELONY,"1700 W WASHINGTON STREET, San Diego, CA"
20204743,2020-08-22,BICYCLIST,VISABLE,,BICYCLE,NISH,,611,, ,EAST,DRIVE, ,SPORTS ARENA,BOULEVARD,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),2,0,,"EAST DRIVE, San Diego, CA"
20204753,2020-08-23,BICYCLIST,VISABLE,,BICYCLE,,,813,4100, ,OREGON,STREET, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,,"4100 OREGON STREET, San Diego, CA"
20204812,2020-08-25,BICYCLIST,PAIN,,BICYCLE,,,524,500, ,A,STREET, , , ,21800A,VC,RIGHT-OF-WAY:INTERSECTION,1,0,,"500 A STREET, San Diego, CA"
20204860,2020-08-27,BICYCLIST,VISABLE,,BICYCLE,"TREK, INC.",,123,1200, ,FIESTA ISLAND,ROAD, , , ,38305,VC,OFF HWY VEH:UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"1200 FIESTA ISLAND ROAD, San Diego, CA"
20204894,2020-08-29,BICYCLIST,PAIN,,BICYCLE,"TREK, INC.",,123,, ,FIESTA ISLAND,ROAD, , , ,20002(A),VC,HIT AND RUN:PROP DAMAGE (M),1,0,MISDEMEANOR,"FIESTA ISLAND ROAD, San Diego, CA"
20205053,2020-09-03,BICYCLIST,SEVERE,,BICYCLE,SCHWARTZ,,529,500,W,IVY,STREET, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"500 W IVY STREET, San Diego, CA"
20205097,2020-09-06,BICYCLIST,VISABLE,,BICYCLE,FELT,,124,9000, ,LA JOLLA SHORES,DRIVE, , , ,21703,VC,FOLLOWING TOO CLOSELY (I),1,0,,"9000 LA JOLLA SHORES DRIVE, San Diego, CA"
20205205,2020-09-12,BICYCLIST,VISABLE,,BICYCLE,,,122,4200, ,GRESHAM,STREET, , , ,21804,VC,RIGHT-OF-WAY:ENTERING HWY (I),1,0,FELONY,"4200 GRESHAM STREET, San Diego, CA"
20205223,2020-09-13,BICYCLIST,VISABLE,,BICYCLE,RIDL,,123,1700, ,FIESTA ISLAND,ROAD, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"1700 FIESTA ISLAND ROAD, San Diego, CA"
20205274,2020-09-15,BICYCLIST,VISABLE,,BICYCLE,SCHWARTZ,,822,5500, ,EL CAJON,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"5500 EL CAJON BOULEVARD, San Diego, CA"
20205318,2020-09-17,BICYCLIST,SEVERE,,BICYCLE,"BEACHCOMBER INDS.,LT",,931,5400, ,MIRAMAR,ROAD, , , ,21456B,VC,PEDESTRIAN CROSS AGAINST NO WALK SIGN/SIGNAL (I),1,0,,"5400 MIRAMAR ROAD, San Diego, CA"
20205383,2020-09-20,BICYCLIST,VISABLE,,BICYCLE,SPEC,,934,11300, ,EAST OCEAN AIR,DRIVE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"11300 EAST OCEAN AIR DRIVE, San Diego, CA"
20205515,2020-09-25,BICYCLIST,VISABLE,,BICYCLE,FUJI ROBBT JR.,,512,200, ,FT W OF WCL OF 500 S 31ST, , , , ,21801B,VC,RIGHT-OF-WAY: TO TURNING VEHICLES THAT HAVE YIELDED (I),1,0,,"200 FT W OF WCL OF 500 S 31ST, San Diego, CA"
20205530,2020-09-26,BICYCLIST,VISABLE,,BICYCLE,FUJI ROBBT JR.,,516,3300, ,MARKET,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"3300 MARKET STREET, San Diego, CA"
20205597,2020-09-26,BICYCLIST,PAIN,,BICYCLE,"BEACHCOMBER INDS.,LT",,614,1900, ,SUNSET CLIFFS,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,MISDEMEANOR,"1900 SUNSET CLIFFS BOULEVARD, San Diego, CA"
20205549,2020-09-27,BICYCLIST,PAIN,,BICYCLE,ELLIPTIGO,,822,4500, ,58TH,STREET, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"4500 58TH STREET, San Diego, CA"
20205551,2020-09-27,BICYCLIST,VISABLE,,BICYCLE,NORCAL,,315,7400, ,MISSION VALLEY,ROAD, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,MISDEMEANOR,"7400 MISSION VALLEY ROAD, San Diego, CA"
20205659,2020-10-01,BICYCLIST,PAIN,,BICYCLE,GIANNINI,,531,3300, ,PARK,BOULEVARD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"3300 PARK BOULEVARD, San Diego, CA"
20205728,2020-10-04,BICYCLIST,PAIN,,BICYCLE,SCHWARTZ,,512,600, ,CESAR E CHAVEZ,PARKWAY, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"600 CESAR E CHAVEZ PARKWAY, San Diego, CA"
20205753,2020-10-05,BICYCLIST,VISABLE,,BICYCLE,SCHWARTZ,,122,800, ,GRAND,AVENUE, , , ,21952,VC,RIGHT-OF-WAY:DRVR YIELD TO PEDESTRIAN ON SIDEWALK (I),1,0,MISDEMEANOR,"800 GRAND AVENUE, San Diego, CA"
